1	Thật kinh ngạc, 42 khối vuông hình sắc cạnh không hơn kém nhau 1 gam.	Thật tuyệt vời, các khối hình đều giống nhau giống nhau một cách đáng kinh ngạc.	3	Hình học
14	Trên bãi đất bồi mà người địa phương gọi là cồn Giá nổi lên như một ốc đảo hoang vu giữa bốn bề trời nước của đầm Cầu Hai ( một đầm lớn ở phía nam Thừa  Thiên - Huế ), đã ra đời một trang trại nuôi tôm với hệ thống bờ đập, kênh  mương, ao hồ công phu.	Trên bãi đất bồi mà người địa phương gọi là cồn Giá nổi lên như một ốc đảo hoang vu giữa bốn bề trời nước của đầm Cầu Hai.	2	Tin Tức
15	Sau những lần đi thu gom tôm đất do ngư dân đánh bắt dưới đầm để bán cho nhà máy chế biến hải sản xuất khẩu, anh phát hiện trong đó có lẫn những con tôm sú.	Sau những lần đi thu gom tôm đất do ngư dân đánh bắt, anh phát hiện trong đó có lẫn những con tôm sú.	3	Đời Sống
16	Trong một cơn cùng quẫn, Đỗi đã tưới dầu lên chiếc đò rách nát, rồi chở cả vợ con chạy ra giữa đầm toan nổi lửa để chấm dứt mọi sự khổ ải.	Về đi ông Đỗi ơi, ông đày ải vợ con chết mất, ngay cả người làm công cho anh thấy cảnh đó cũng nản lòng.	0	Văn Học
17	Phường gà Ninh Xá cách thủ đô Hà Nội hơn 30 km đường ngay trung tâm thị xã Bắc Ninh.	Phường gà Ninh Xá cách xa thủ đô Hà Nội gần 30 km đường ngay trung tâm thị xã Bắc Ninh.	4	Tin Tức
18	Phần nhiều họ là những thành phần có “ máu mặt ” ở địa phương, nếu chỉ là người bình thường chắc chẳng đủ gan để mở một sới ngay giữa ban ngày ban mặt.	Phần nhiều họ là những thành phần có “ máu mặt ” ở địa phương, nếu chỉ là người bình thường chắc suy nghĩ cũng không mở sới ngay giữa ban ngày ban mặt.	3	Tin Tức
19	Họ mở sới không phải chỉ là tạo sân chơi “ lành mạnh ” cho dân mê gà mà cốt để kinh doanh, thu tiền sới sau mỗi trận đấu, trong đó bao gồm cả “ phí an ninh ”, “ phí liên lạc ”.	Họ đồng thời cũng là những “ tín đồ ” của “ đạo bạc gà ”.	1	Tin Tức
20	Điều đáng ngạc nhiên là sự tồn tại của các sới gà cờ bạc thứ thiệt này ngày một lộ liễu, thậm chí có sới còn tồn tại vài năm trời với qui mô ngày một lớn.	Điều đáng ngạc nhiên là sự tồn tại của các sới gà cờ bạc thứ thiệt này ngày một tinh vi, thậm chí có sới còn tồn tại vài năm trời với qui mô ngày một lớn và ngày càng mở rộng.	3	Tin Tức
21	Trong hơn 100 thợ lặn, chiếm quá nửa tổng số thanh niên trai tráng của làng Xuân Hòa, xã Thạch Bằng ( Hà Tĩnh ) có đến 40 người lặn có “ bằng ”.	Trong hơn gần 100 thợ lặn, chiếm quá nửa tổng số thanh niên trai tráng của làng Xuân Hòa, xã Thạch Bằng ( Hà Tĩnh ) có đến gần 60 người lặn chưa có “ bằng ”.	2	Tin Tức
22	Họ tự hào “con trai Xuân Hòa đẻ ra là biết lặn, biết bơi ”.	Tự hào hơn khi họ kể chuyện ông Thú Đỉnh - sư phụ nghề lặn của làng - từng lặn bộ dưới biển cửa Sót sâu hàng chục mét để tháo cái chân vịt của tàu chiến Pháp đem về làm kỷ niệm hồi năm 1953.	1	Đời Sống
23	Nhiệm vụ quan trọng nhất của chú là không để thuyền người khác đi qua vùng lặn kéo theo những dây nhựa đang nổi bồng bềnh trên mặt biển đang nối liền với miệng của thợ lặn để cung cấp khí thở; gỡ các dây khi sóng biển làm rối vào nhau và đổ nước mát cho các máy trên thuyền đủ sức chạy trong nhiều giờ liền.	Nhiệm vụ quan trọng nhất của chú là không để thuyền người khác đi qua vùng lặn kéo theo những dây nhựa đang nổi bồng bềnh trên mặt biển đang nối liền với miệng của thợ lặn để cung cấp khí thở.	4	Đời Sống
24	Là một thợ lặn trẻ biết hết mọi chuyện mưu sinh dưới biển, Hải kể : “ Dưới đáy biển, thợ lặn phải dùng một cái dùi bằng sắt hoặc con dao nhọn để cạy những con ngao, con sò bám rất chắc vào hang đá.	Nơi không có bãi đá, thợ phải có đôi mắt thật tinh để có thể phát hiện những “ mánh ” của con hàng.	1	Đời Sống
25	Bước nhảy từ lặn bộ sang lặn máy đã giúp những hội thợ lặn làng Xuân Hòa có điều kiện chinh phục những vùng biển xa, rộng lớn hơn.	Từ lặn bộ sang lặn máy đã giúp những hội thợ lặn làng Xuân Hòa có điều kiện chinh phục những vùng biển xa, rộng lớn hơn, đánh bắt được nhiều cá hơn.	3	Đời Sống
26	Sáng sớm 22-10-2003, những thủy thủ bị nạn của tàu Hoàng Đạt 35 đã được tàu Capability (Liberia) đưa về tới Nha Trang.	Tai ương đã ập đến với con tàu Hoàng Đạt 35 vào lúc gần 3 giờ sáng 21-10-2003 tại vùng biển Trường Sa VN, cách vịnh Cam Ranh chừng hơn 100 hải lý.	0	Tin Tức
27	Nguyễn Khắc Trường (27 tuổi), thủy thủ, một trong hai trường hợp bị mất tích nhưng may mắn trở thành người sau cùng được vớt lên.	Trường cho biết: “ Tôi là người phải chịu ở dưới nước lâu nhất, kinh hãi lắm ... ” - vừa nói, Trường vừa lắc đầu rùng mình...	1	Đời Sống
28	Con tàu càng nghiêng rất nhanh, khi độ nghiêng đến lên hơn 20 – 25 độ, tôi biết tình thế không còn cách nào có thể cứu được tàu nữa, khi ấy chỉ còn nghĩ đến cách phải cứu cho được thủy thủ.	Con tàu càng nghiêng rất nhanh, khi độ nghiêng đến lên hơn 20 – 25 độ, tôi biết tình thế không còn cách nào có thể cứu được tàu nữa, khi ấy chỉ còn nghĩ đến cách phải cứu cho được thủy thủ, để thoát khỏi tai nạn lần này.	4	Tin Tức
29	Nguyễn Đình Hùng, thủy thủ 22 tuổi, cho biết: “ Tôi là người thuộc tốp đầu tiên bám được vào thang dây của tàu cứu hộ ”.	Vừa bám giữ cho được theo sợi dây người ta thả xuống từ trên tàu, vừa lượn người để giảm sức va đập do sóng đánh dập mình vào thành tàu, đồng thời phải gắng sức bám cho được vào thang dây.	1	Tin Tức
30	Chiều hôm qua tại nhà tang lễ Bệnh viện tỉnh Khánh Hòa, cùng với công ty chủ tàu, những người may mắn thoát nạn đã tiễn đưa hai đồng đội xấu số của mình (anh Vũ Ngọc Bình và anh Đào Xuân Nhung – sinh năm 1944, sĩ quan boong tàu) về quê nhà.	Chiều này hôm đấy tại nhà tang lễ Bệnh viện tỉnh Khánh Hòa, cùng với công ty chủ tàu, những người may mắn thoát nạn đã tiễn đưa hai đồng đội xấu số của mình về quê nhà.	3	Tin Tức
31	Vượt qua những con đường do lũ lụt tàn phá với những ổ trâu, ổ voi lầy lội có nơi phải nhờ đến xe ủi xe xúc mở đường phía trước và những ngầm đá vùng cao gập ghềnh, liên tiếp trong hai ngày 22 và 23 - 10 đoàn công tác xã hội báo Tuổi Trẻ đã mang những món quà sẻ chia của bạn đọc đến tận những vùng lũ Bình Minh, Bình Chương và Nam Trà My - những vùng đất khó nghèo của Quảng Ngãi, Quảng Nam.	Vượt qua những con đường do lũ lụt tàn phá với những ổ trâu, ổ voi lầy lội có nơi phải nhờ đến xe ủi, xe xúc mở đường phía trước và những ngầm đá vùng cao gập ghềnh, liên tiếp trong hai ngày 22 và 23 - 10 đoàn công tác xã hội báo.	4	Tin Tức
32	Tất cả dựng lại những mái nhà xiêu vẹo, trên gương mặt mỗi người in sâu những lo âu về cái ăn trước mắt cũng như sự mưu sinh lâu dài sau mùa lũ.	Bà Võ Thị Lĩnh ( thôn Tân Phước, Bình Minh ) thở dài nói : “ Căn nhà tranh tui tích góp nhiều năm trời mới dựng được, đêm 17 rạng ngày 18 nước lũ dâng cao hơn cả thước, rồi gió ập đến cuốn hết, cả mấy cái nồi, chum gạo cũng trôi tuột ”.	1	Đời Sống
33	Mỗi phần quà trị giá 100000 đồng gồm gạo, mì, đường ... 15g, đoàn công tác xã hội của báo Tuổi Trẻ đã về với bà con xã Bình Chương.	Trước đó, ngày 22 – 10, đoàn đã đến hai xã bị lũ nặng nề nhất của tỉnh Quảng Ngãi là Bình Minh và Bình Chương ( huyện Bình Sơn ) và trao 420 suất quà cho bà con nghèo bị trôi nhà cửa, mất mát tài sản.	0	Tin Tức
34	Không biết đến bao giờ bà con vùng cao huyện Nam Trà My mới ổn định được cuộc sống sau thiệt hại lớn của cơn lũ này và đối phó làm sao với những con lũ sắp đến.	Không biết đến bao giờ bà con vùng cao huyện Nam Trà My mới ổn định được cuộc sống sau những mất mát mà cơn lũ vừa qua ập đến.	3	Đời Sống
35	Có bốn đại lý tiêu thụ chó, hình thành một chợ chó nằm trên quốc lộ 1A thuộc xã Điện Phương, huyện Điện Bàn, tỉnh Quảng Nam.	Có nhiều đại lý tiêu thụ chó hình thành ở đây, và đây cũng là một trong những vấn đề người dân phản đối việc tiêu thụ chó.	2	Đời Sống
36	Theo ông Phạm Yên, người có thâm niên trên 20 năm đi đổi chó ở xã Điện Minh người ta không gọi là đi “ mua chó  ” mà gọi “ đổi chó  ” mặc dù là bán lấy tiền bởi lẽ người ta nuôi chó là để giữ nhà, không dùng từ mua – bán.	Theo ông Phạm Yên, người có thâm niên trên 20 năm đi đổi chó ở xã Điện Minh người ta không gọi là đi “ mua chó  ” mà gọi “ đổi chó  ”.	4	Đời Sống
37	Bữa ăn “ sang trọng ” cuối cùng mà ông chủ Phạm Tuấn dành cho chú Vàng yêu quí gồm : cơm, cá, thịt heo ... để tiễn “ người bạn tri âm ” 10 năm chung sống.	Bữa ăn chưa kết thúc, chiếc kẹp sắt dài 1 m từ bàn tay của Bùi A nhanh như chớp thò ra kẹp cổ chú Vàng bỏ vào rọ sắt, kết thúc một thương vụ.	1	Đời Sống
38	Phiên chợ bắt đầu từ 12 g – 18 g trong ngày, thời điểm sôi động nhất vào khoảng 16 g – 17 g, bởi đây là lúc các lái buôn tập trung về chợ sau một ngày đi thu mua chó.	Giá chó lên hay xuống là do sự thống nhất của bốn người mua tại đây.	0	Đời Sống
39	Trong khi đó có những người lặng lẽ lội ì oạp từ miệng cống này sang miệng cống khác vét từng mảng bùn đen, lật từng nắp cống cho nước thoát nhanh.	Trong khi đó có những người lặng lẽ lội ì oạp từ miệng cống này sang miệng cống khác vét từng mảng bùn đen, lật từng nắp cống cho nước thoát nhanh, để tránh cho việc ngập lụt ở các con đường.	4	Đời Sống
40	Trong thời gian mà trên lịch của những người làm ngành thoát nước ghi đậm “ đỉnh triều ”, ngày nào cũng có mấy người dân vào ngay văn phòng Xí nghiệp Thoát nước số 3 ( Bình Thạnh ) để mắng vốn.	Trong thời gian trên lịch của những người làm ngành thoát nước ghi đậm “ đỉnh triều ”, hôm nào cũng có dân vào phản án với Xí nghiệp.	2	Đời Sống
41	Người Công Nhân cúi xuống, cầm cái ky vét hầm, chui hẳn vào lòng ống cống để nạo, chuyển lên trên từng xẻng bùn, người ở trên kéo lên, đổ vào thùng.	Lưng mỏi, chân tê, anh ở dưới leo lên, anh ở trên leo xuống thay chỗ.	0	Đời Sống
42	Chợt nhớ lúc sáng, khi nghe một anh Công Nhân vừa chui dưới hầm ga lên phân trần với chủ tịch công đoàn : “ Hồi này sức khỏe kém quá, nhiều lúc xuống hầm thở không nổi, tôi định xin chuyển từ khâu chui sang vét mà lại tiếc, mất quyền lợi.	Khi nghe một anh Công Nhân vừa chui dưới hầm ga lên phân trần với chủ tịch công đoàn : “ Hồi này sức khỏe kém quá, nhiều lúc xuống hầm thở không nổi, tôi định xin chuyển từ khâu chui sang vét mà lại tiếc, mất quyền lợi.	3	Đời Sống
43	Các anh CN Xí nghiệp hai đang thi công công trình thay mới và sửa chữa cống vòm ở đường Pasteur thì bảo : “ Ngành thoát nước ngày càng tiến bộ, hiện đại hơn thì cho con cái chúng tôi theo nghề cũng tốt chứ ”.	Các anh CN Xí nghiệp hai đang thi công công trình thay mới và sửa chữa cống vòm ở đường Pasteur thì bảo : “ Ngành thoát nước ngày càng tiến bộ, hiện đại hơn thì cho con cái chúng tôi theo nghề cũng tốt chứ ”.	4	Tin Tức
44	Tôi gặp ông Lê Văn On ( Tám On ) ngụ ở ấp Tiên Long 1, xã Tiên Long, huyện Châu Thành, Bến Tre là người bỏ nhiều công, của cất gần 600 căn nhà tình thương cho người nghèo.	Tôi gặp ông Lê Văn On là người bỏ nhiều công, của cất gần 600 căn nhà tình thương cho người nghèo.	3	Tin Tức
45	Từng sống trong căn nhà lá cột gòn và lao động kiếm sống, ông Tám On rất thấu hiểu cảnh thiếu khó của người nghèo neo đơn không nơi nương tựa.	Năm 31 tuổi, khi gia đình bắt đầu có của ăn của để, ông đã nghĩ đến việc giúp những gia đình nghèo sống trong cảnh nhà dột cột xiêu bằng cách cất cho họ căn nhà che nắng che mưa.	1	Tin Tức
46	Sau đó, được những người trong làng đi làm ăn, buôn bán trong và ngoài tỉnh như Tiền Giang, Đồng Tháp, Trà Vinh ... giới thiệu, ông Tám On tìm hiểu và sẵn lòng giúp nhà cho những người nghèo thật sự biết lo làm ăn.	Sau đó, được những người trong làng đi làm ăn, buôn bán trong và ngoài tỉnh như Tiền Giang, Đồng Tháp, Trà Vinh ... giới thiệu, ông Tám On tìm hiểu và sẵn lòng giúp nhà cho những người nghèo thật sự biết lo làm ăn, càng ngày càng giúp đỡ được nhiều người khó khăn hơn.	4	Tin Tức
47	Phước “ mù ” là một người hiếu thảo, cặm cụi làm ăn, vừa bán vé số nuôi bà ngoại vừa để dành tiền mua được nền nhà.	Ông giúp Phước “ mù ” tận tình, không chỉ giúp nhà mà còn mua thêm ít gỗ để đóng cho cái giường, cái bàn, cái ghế.	1	Tin Tức
48	Người nghèo khi nhận nhà đều cảm ơn, ông khuyên họ : “ Hãy cố gắng làm ăn, chăm lo gia đình hạnh phúc là đáp ơn tôi rồi ”.	Nhà ông cho người nghèo cũng chẳng phải sang trọng gì, thường là nhà kê bằng thân cây dừa lão xẻ ra làm sườn.	1	Tin Tức
49	Nghe ở đâu có người nghèo cần giúp làm nhà, công trình công cộng thiếu kinh phí, thiếu công thợ, dù xa xôi tận An Hiệp, Thành Triệu, Quới Thành ( huyện Châu Thành ), Thạnh Ngãi ( huyện Mỏ Cày ) hay Mỹ Thạnh An ( thị xã Bến Tre ), Chợ Gạo ( Tiền Giang )  . . . các ông vẫn khăn gói lên đường làm giúp mà không tính toán điều gì.	Ông Tám On và bạn bè không chỉ lo việc thiện, việc nghĩa, làm cầu, sửa đường, cất nhà tình thương trong xã.	0	Tin Tức
50	Mỗi ngày, hàng ngàn con chim trời bỗng chốc bị hóa kiếp trở thành những con chim quay béo ngậy trên bàn nhậu, thành món ăn rất dân dã trong mỗi bữa ăn của người dân đảo Cát Bà ( Cát Hải, Hải Phòng ).	Hàng ngàn con chim trời bỗng chốc bị hóa kiếp trở thành những con chim quay béo ngậy trên bàn nhậu, thành món ăn rất dân dã trong mỗi bữa ăn của người dân đảo Cát Bà .	4	Tin Tức
51	Như thấy thiếu điều gì, ông lại chạy vào bụi cây lấy ra trên chục ống bơ sữa bò, bên trong ống bơ đó là một hòn đá được buộc lủng lẳng bằng sợi dây chỉ.	Như thấy điều gì lạ, ông lại chạy vào bụi cây lấy ra trên chục ống bơ sữa bò, bên trong ống bơ đó là một hòn đá được buộc lủng lẳng bằng sợi dây chỉ.	4	Đời Sống
52	Không biết có phải “ chim mỏi về rừng tìm chốn ngủ ” hay vì những điều kiện lý tưởng của Cát Bà mà cứ dịp cuối năm, mỗi ngày có hàng ngàn, hàng vạn con chim cuốc, le le, gà đồng . . . kéo nhau về đây tìm chốn ngủ.	Không biết có phải “ chim mỏi về rừng tìm chốn ngủ ” hay vì những điều kiện lý tưởng của Cát Bà mà cứ dịp cuối năm, mỗi ngày có hàng ngàn, hàng vạn con chim cuốc, le le, gà đồng . . . kéo nhau về đây tìm chốn ngủ.	4	Đời Sống
53	Nếu bạn thường xuyên tắt báo thức và cảm thấy ủ rũ vào buổi sáng, hãy tìm cách thay đổi để có một buổi sáng tràn đầy năng lượng. Bắt đầu bằng việc tìm ra những lý do khác nhau khiến bạn không thể thức dậy vào buổi sáng và phải làm gì với chúng để tỉnh táo sau khi ngủ dậy sớm.	Nếu bạn thường xuyên tập thể dục buổi sáng, ăn uống điều độ, thay đổi chế độ ăn uống, giấc ngủ để cải thiện sức khỏe.	1	Sức Khỏe
54	Suy nghĩ tích cực không chỉ liên quan đến việc bỏ qua những tình huống khiến bạn cảm thấy khó chịu hoặc khó khăn trong cuộc sống. Nó có nghĩa là bạn đón nhận sự khó chịu với một thái độ tích cực hơn. Có nghĩa là hành động một cách lạc quan ngay cả khi gặp phải tình huống có thể khiến bạn bi quan. ‌	Bạn phải bắt đầu bằng cách quan sát đoạn độc thoại nội tâm của mình hoặc cách bạn nói chuyện với chính mình. Bạn có thể nói chuyện với bản thân một cách tích cực hoặc tiêu cực. Một số điều bạn nói với bản thân có vẻ tích cực trong khi một số có thể bị truyền cảm xúc tiêu cực.	1	Sức Khỏe
55	Cười nhiều hơn: Nói chung, việc có khiếu hài hước trong cuộc sống hàng ngày có thể cải thiện đáng kể cảm giác tích cực. Khi bạn cười, bạn cảm thấy ít căng thẳng hơn và khi bạn cảm thấy ít căng thẳng hơn, bạn có nhiều khả năng nhìn cuộc sống qua lăng kính tích cực hơn.	Nói chung, việc có khiếu hài hước trong cuộc sống hàng ngày có thể cải thiện đáng kể cảm giác tích cực. Khi bạn cười, bạn cảm thấy ít căng thẳng hơn và khi bạn cảm thấy ít căng thẳng hơn, bạn có nhiều khả năng nhìn cuộc sống qua lăng kính tích cực hơn.	4	Sức Khỏe
56	Nguyên nhân chính gây ô nhiễm không khí (đốt nhiên liệu hóa thạch) cũng là tác nhân chính gây ra biến đổi khí hậu, ảnh hưởng đến sức khỏe của người dân theo nhiều cách khác nhau. Từ năm 2030 đến 2050, biến đổi khí hậu dự kiến sẽ gây ra thêm 250.000 ca tử vong mỗi năm, do suy dinh dưỡng, sốt rét, tiêu chảy và stress nhiệt.	Ô nhiễm không khí là tác nhân chính gây ra biến đổi khí hậu, ảnh hưởng đến sức khỏe của người dân theo nhiều cách khác nhau. Từ năm 2030 đến 2050, biến đổi khí hậu dự kiến sẽ gây ra thêm 250.000 ca tử vong mỗi năm, do suy dinh dưỡng, sốt rét, tiêu chảy và stress nhiệt.	4	Môi Trường
57	Các bệnh không lây nhiễm, như bệnh tiểu đường, ung thư và bệnh tim mạch là nguyên nhân chính cho hơn 70% tổng số ca tử vong trên toàn thế giới, tương đương 41 triệu người. Trong đó, bao gồm 15 triệu người chết sớm ở độ tuổi tuổi từ 30 đến 69.	Hơn 85% số ca tử vong sớm này là ở các nước thu nhập thấp và trung bình. Sự gia tăng của các bệnh này đã được thúc đẩy bởi 5 yếu tố nguy cơ chính: sử dụng thuốc lá, không hoạt động thể chất, uống nhiều rượu bia, chế độ ăn uống không lành mạnh và ô nhiễm không khí. Các yếu tố nguy cơ này cũng làm trầm trọng thêm các vấn đề về sức khỏe tâm thần, có thể bắt đầu từ khi còn nhỏ: một nửa số bệnh tâm thần bắt đầu từ năm 14 tuổi, nhưng hầu hết các trường hợp không được phát hiện và không được điều trị, tự tử là nguyên nhân hàng đầu thứ hai gây tử vong trong độ tuổi từ 15 đến 19 tuổi.	0	Sức Khỏe
58	Năm 2018, Cộng hòa Dân chủ Congo đã trải qua 2 đợt dịch Ebola riêng biệt, cả 2 đều lan sang các thành phố với hơn 1 triệu người mắc. Điều này cho thấy bối cảnh dịch bệnh gây bệnh có nguy cơ cao như Ebola bùng phát là rất nghiêm trọng - những gì đã xảy ra trong các vụ dịch ở nông thôn trong quá khứ không phải lúc nào cũng áp dụng cho các khu vực đô thị đông dân hoặc các khu vực bị ảnh hưởng bởi xung đột.	Cộng hòa Dân chủ Congo đã trải qua 2 đợt dịch, cả 2 đều lan sang các thành phố với hơn 1 triệu người mắc. Điều này cho thấy bối cảnh dịch bệnh gây bệnh có nguy cơ cao như Ebola bùng phát là rất nghiêm trọng.	3	Tin Tức
59	Chăm sóc sức khỏe ban đầu có thể đáp ứng phần lớn nhu cầu sức khỏe của một người trong suốt cuộc đời của họ. Hệ thống y tế với chăm sóc sức khỏe ban đầu mạnh mẽ là cần thiết để đạt được bao phủ chăm sóc sức khoẻ toàn dân.	Chăm sóc sức khỏe ban đầu có thể đáp ứng phần lớn nhu cầu sức khỏe của một người trong suốt cuộc đời của họ. Hệ thống y tế với chăm sóc sức khỏe ban đầu mạnh mẽ là cần thiết để đạt được bao phủ chăm sóc sức khoẻ toàn dân. Giúp cải thiện sức khỏe hơn và phòng tránh nhiễm biến chứng có thể xảy ra.	3	Sức Khỏe
60	Truyện ngắn Đôi mắt là truyện ngắn thành công nhất của Nam Cao sau Cách mạng Tháng 8. Trong truyện, thông qua việc xây dựng hình tượng hai nhà văn: Hoàng và Độ với hai lối sống, hai sự nhìn nhận về người nông dân, về kháng chiến trái ngược nhau, Nam Cao đã khái quát lên một vấn đề có ý nghĩa sâu sắc, không chỉ có ý nghĩa với tình hình thực tế lúc đó mà còn có ý nghĩa trong thời điểm hiện tại – vấn đề “cách nhìn cuộc sống”.	Đôi mắt, thông qua nghệ thuật miêu tả chi tiết ngoại hình, cử chỉ, lời nói của nhân vật, Hoàng và Độ đã hiện ra khá sinh động. Hoàng với cái nhìn phiến diện, một chiều, chỉ nhìn thấy những xấu xa của người nông dân và thấy cuộc sống “chua chát”.	1	Văn Học
61	Không biết có phải “ chim mỏi về rừng tìm chốn ngủ ” hay vì những điều kiện lý tưởng của Cát Bà mà cứ dịp cuối năm, mỗi ngày có hàng ngàn, hàng vạn con chim cuốc, le le, gà đồng ... kéo nhau về đây tìm chốn ngủ.	Vì “ chim mỏi về rừng tìm chốn ngủ ” hoặc vì những điều kiện lý tưởng của Cát Bà mà cứ dịp cuối năm, mỗi ngày có hàng ngàn, hàng vạn con chim cuốc, le le, gà đồng ... kéo nhau về đây tìm chốn ngủ.	4	Tin Tức
62	Có gì cũng được trừ có bệnh, không có gì cũng được trừ không có tiền, thiếu gì cũng được trừ thiếu sức khỏe. Sức khỏe không phải là tất cả nhưng không có sức khỏe sẽ chẳng có thứ gì!	Hạnh phúc của đời người không nằm ở danh lợi mà xuất phát từ sức khỏe, cơ thể khỏe mạnh không quyết định bởi tiền bạc mà quyết định bởi sự vận động của mỗi con người!	4	Sức Khỏe
63	Sức khỏe không phải là thứ chúng ta có thể mua. Tuy nhiên, nó có thể là một tài khoản tiết kiệm cực kỳ giá trị.	Sức khỏe tốt và trí tuệ minh mẫn là hai điều hạnh phúc nhất của cuộc đời.	2	Sức Khỏe
